"-- First Please Select a Website --","-Najpierw proszę wybrać witrynę--"
"Action","Operacja"
"Gift card account %s balance is less than amount to be charged.","Środki na karcie podarunkowej %s są niewystarczające."
"Gift card account %s is expired.","Karta podarunkowa %s straciła ważność."
"Gift card account %s is not enabled.","Karta podarunkowa %s jest nieaktywna."
"GiftCard Account API","API konta karty podarunkowej"
"Have a gift card? <a href=""%s"">Click here</a> to redeem it.","Masz kartę upominkową? <a href=""%s""> Kliknij tutaj,</a> aby ją zrealizować."
"History","Historia"
"ID","ID"
"Information","Informacje"
"Invalid customer ID supplied.","Podano nieprawidłowe ID klienta."
"Low Code Pool Threshold","Niski próg puli kodów"
"Manage Gift Card Accounts","Zarządzaj kontami kart podarunkowych"
"Maximum generated code length is 255. Please correct your settings.","Maksymalna  wygenerowana długość kodu to 255. Popraw ustawienia."
"New Account","Nowe konto"
"New Gift Card Account","Nowe konto karty podarunkowej"
"New Pool Size","Nowy rozmiar puli"
"New code pool was generated.","Wygenerowano nową pulę kodów."
"No","Nie"
"No codes left in the pool.","Brak wolnych kodów w puli."
"Numeric","Numeryczny"
"Order #%s.","Zamówienie nr %s."
"Please assign gift card account.","Przypisz konto karty podarunkowej."
"Please select gift card account(s)","Wybierz konto/konta karty podarunkowej"
"Please wait, loading...","Prosimy czekać, trwa ładowanie..."
"Recipient Email","E-mail odbiorcy"
"Recipient Name","Nazwa odbiorcy"
"Recipient: %s.","Adresat: %s."
"Recipient: %s. By admin: %s.","Odbiorca: %s. Przez administratora: %s."
"Redeem Gift Card","Wykorzystaj kartę podarunkową"
"Redeemable","Wymienialna"
"Redeemed","Wykorzystano"
"Redemption functionality is disabled.","Funkcjonalność wykorzystania jest wyłączona."
"Refund Gift Cards to Store Credit","Zwrot wartości karty podarunkowej do kredytu kupieckiego"
"Refunded to Store Credit","Zwrócono na konto kredytu kupieckiego"
"Remove","Usuń"
"Remove gift card account","Usuń konto Gift Card"
"Retrieve full gift card account info","Pobrać pełne informacje o koncie Gift Card"
"Retrieve gift card accounts list","Pobrać listę kont Gift Card"
"Save","Zapisz"
"Save & Send Email","Zapisz & wyślij e-mail"
"Send Gift Card","Wyślij kartę prezentową"
"Sent","Wysłano"
"Status","Status"
"Store Credit","Kredyt w sklepie"
"The gift card account has been saved and sent.","Konto karty podarunkowej zostało zapisane, a wiadomość wysłana."
"The gift card account has been saved, but email was not sent.","Konto karty podarunkowej zostało zapisane bez wysłania wiadomości e-mail."
"The gift card account has been saved.","Konto karty podarunkowej zostało zapisane."
"This Gift Card Account no longer exists.","Konto karty podarunkowej już nie istnieje."
"This gift card account is already in the quote.","Ta karta podarunkowa jest już w ofercie."
"This gift card account wasn\'t found in the quote.","Tej karty podarunkowej nie znaleziono w ofercie."
"To add or remove gift cards, <a href=""%s"">click here</a>.","Aby dodać lub usunąć karty podarunkowe, <a href=""%s""> kliknij tutaj</a>."
"Total of %d record(s) have been deleted.","Usunięto %d wpis(ów)."
"Unable to create full code pool size. Please check settings and try again.","Nie można otworzyć pełnej puli kodów. Sprawdź ustawienia i spróbuj ponownie."
"Unable to find a Gift Card Account to delete.","Nie można odnaleźć karty podarunkowej w celu jej usunięcia."
"Unable to generate new code pool.","Nie można wygenerować nowej puli kodów."
"Unknown history action.","Nieznana historia operacji."
"Update gift card info","Aktualizowanie informacji karty podarunkowej"
"Updated","Zaktualizowano"
"Used","Wykorzystane"
"WARNING: Save your configuration before running generation process.","UWAGA: Zapisz konfigurację przed uruchomieniem procesu generowania kodów."
"Website","Witryna"
"Wrong gift card account ID. Requested code: ""%s""","Błędne ID konta karty podarunkowej. Zgłoszony kod: ""%s"""
"Wrong gift card account code: ""%s"".","Błędny kod konta karty podarunkowej: ""%s""."
"Wrong gift card account website: %s.","Błędna witryna dla konta karty podarunkowej: %s."
"Wrong gift card code.","Niepoprawny kod karty prezentowej."
"Wrong or expired Gift Card Code.","Nieprawidłowy lub nieważny kod karty prezentowej."
"Yes","Tak"
"if empty no separation.","Pozostawione puste oznacza brak separatorów."
